feature,percent_influence
property_values_Value in US Dollars,43.64409197
Time Dif,11.84270276
price,8.799153512
Rent Percent,6.339788801
property_values_m2,5.184517748
Cellular Percent,4.669169082
health_distance,3.801722875
Commune,3.090741186
public_wifi_distance,3.085303202
Owner Percent,2.765532037
Education Percent,1.960596748
property_values_Value of m2 (US Dollars),1.876021818
Distance in m,1.80620684
property_values_distance,1.134451427
