Sports Center Distance,0.779010249430117
Education Percent,0.7503064286844014
Latitude,0.7082886895345597
Owner Percent,0.7052551466461989
Regular Percent,0.7011935924959665
Computer Percent,0.6851542844712357
Distance from Public Transportation,0.677763375344663
Cellular Percent,0.6698916255790333
Immigration Percent,0.6680723315722785
Longitude,0.6154140790637936
Rent Percent,0.6140894762437727
Uninhabited Percent,0.5668298701379668
Health Provider Distance,0.5092835481827152
Public Wifi Distance,0.4751895299789184
Reported Barrio,0.17368813675648997
