,created_on,property_type,lat,lon,price usd,b_id,c_b_id
5790,8/19/2014,apartment,-34.603723200000005,-58.381593099999996,73000.0,43.0,9
5791,10/15/2015,apartment,-34.60371374,-58.38158089,900000.0,43.0,2
5792,10/15/2015,apartment,-34.60371374,-58.38158089,900000.0,43.0,1
5793,11/6/2015,apartment,-34.603684,-58.381558999999996,89000.0,43.0,32
5794,11/12/2015,apartment,-34.60371374,-58.38158089,89000.0,43.0,14
5795,11/12/2015,apartment,-34.60371374,-58.38158089,89000.0,43.0,14
5796,9/22/2014,PH,-34.603723200000005,-58.381593099999996,75000.0,43.0,9
5797,9/22/2014,PH,-34.603723200000005,-58.381593099999996,75000.0,43.0,9
5798,10/16/2015,apartment,-34.6036844,-58.381559100000004,120000.0,43.0,36
5799,10/15/2015,apartment,-34.60371374,-58.38158089,1200000.0,43.0,0
5800,10/15/2015,apartment,-34.60371374,-58.38158089,1200000.0,43.0,1
5801,8/3/2015,PH,-34.60371374,-58.38158089,75000.0,43.0,12
5802,8/8/2014,PH,-34.603723200000005,-58.381593099999996,133000.0,43.0,32
5803,1/5/2015,apartment,-34.603723200000005,-58.381593099999996,580000.0,43.0,44
5804,8/8/2014,apartment,-34.603722999999995,-58.381593,380000.0,43.0,44
5805,9/29/2015,PH,-34.60371374,-58.38158089,215000.0,43.0,2
5806,11/24/2015,apartment,-34.6,-58.38333299999999,215000.0,43.0,48
5807,8/25/2015,apartment,-34.6036844,-58.381559100000004,215000.0,43.0,9
5808,6/19/2015,PH,-34.60371374,-58.38158089,199000.0,43.0,29
5809,6/19/2015,PH,-34.60371374,-58.38158089,175000.0,43.0,19
5810,9/7/2015,apartment,-34.60371374,-58.38158089,67000.0,43.0,4
5811,7/1/2015,apartment,-34.60371374,-58.38158089,129000.0,43.0,18
5812,10/23/2015,apartment,-34.60371374,-58.38158089,400000.0,43.0,41
5813,7/28/2015,store,-34.60371374,-58.38158089,50000.0,43.0,1
5814,9/27/2014,apartment,-34.6036844,-58.381559100000004,178000.0,43.0,11
5815,10/6/2015,apartment,-34.60371374,-58.38158089,350000.0,43.0,48
5816,9/16/2014,apartment,-34.59925399,-58.38407085,235000.0,43.0,35
5817,1/2/2015,apartment,-34.6036844,-58.381559100000004,98000.0,43.0,0
5818,11/13/2015,apartment,-34.601978,-58.383814,135000.0,43.0,1
5819,8/27/2015,store,-34.6036844,-58.381559100000004,110000.0,43.0,12
5820,9/29/2015,apartment,-34.60371374,-58.38158089,110000.0,43.0,17
5821,6/18/2015,store,-34.60371374,-58.38158089,3500000.0,43.0,4
5822,11/18/2015,apartment,-34.60371374,-58.38158089,110000.0,43.0,29
5823,10/19/2015,store,-34.60371374,-58.38158089,380000.0,43.0,0
5824,9/22/2014,PH,-34.603723200000005,-58.381593099999996,65000.0,43.0,9
5825,5/6/2015,apartment,-34.60371374,-58.38158089,73000.0,43.0,11
5826,6/10/2015,PH,-34.6036844,-58.381559100000004,69000.0,43.0,9
5827,7/21/2015,house,-34.60371374,-58.38158089,370000.0,43.0,19
5828,10/15/2015,apartment,-34.60371374,-58.38158089,145000.0,43.0,2
5829,8/26/2015,apartment,-34.60371374,-58.38158089,145000.0,43.0,0
5830,10/15/2015,apartment,-34.60371374,-58.38158089,145000.0,43.0,1
5831,6/29/2015,apartment,-34.60371374,-58.38158089,98000.0,43.0,8
5832,7/2/2015,apartment,-34.60371374,-58.38158089,95000.0,43.0,1
5833,11/9/2015,apartment,-34.60371374,-58.38158089,95000.0,43.0,1
5834,10/1/2015,PH,-34.6036844,-58.381559100000004,95000.0,43.0,6
5835,10/1/2015,PH,-34.6036844,-58.381559100000004,95000.0,43.0,6
5836,7/18/2015,apartment,-34.6036844,-58.381559100000004,95000.0,43.0,6
5837,8/19/2014,apartment,-34.603723200000005,-58.381593099999996,60000.0,43.0,9
5838,9/4/2014,PH,-34.603723200000005,-58.381593099999996,120000.0,43.0,9
5839,5/21/2015,apartment,-34.6036844,-58.381559100000004,265000.0,43.0,44
5840,10/15/2015,apartment,-34.60371374,-58.38158089,410000.0,43.0,48
5841,10/15/2015,apartment,-34.60371374,-58.38158089,410000.0,43.0,48
5842,11/24/2015,apartment,-34.6,-58.38333299999999,250000.0,43.0,48
5843,11/6/2015,PH,-34.6036844,-58.381559100000004,125000.0,43.0,18
5844,10/15/2015,apartment,-34.60371374,-58.38158089,179540.0,43.0,0
5845,10/15/2015,apartment,-34.60371374,-58.38158089,249000.0,43.0,0
5846,6/11/2015,apartment,-34.60371374,-58.38158089,121000.0,43.0,0
5847,11/17/2015,apartment,-34.6036844,-58.381559100000004,234000.0,43.0,6
5848,10/15/2015,apartment,-34.60371374,-58.38158089,109000.0,43.0,2
5849,7/21/2014,PH,-34.603723200000005,-58.381593099999996,85000.0,43.0,9
5850,10/15/2015,apartment,-34.60371374,-58.38158089,109000.0,43.0,1
5851,8/4/2015,apartment,-34.60371374,-58.38158089,210000.0,43.0,28
5852,5/22/2015,apartment,-34.6036844,-58.381559100000004,120598.72,43.0,32
5853,5/21/2015,apartment,-34.6036844,-58.381559100000004,0.0,43.0,0
5854,7/22/2015,house,-34.6036844,-58.381559100000004,0.0,43.0,0
5855,7/22/2015,house,-34.6036844,-58.381559100000004,0.0,43.0,1
5856,7/22/2015,house,-34.6036844,-58.381559100000004,0.0,43.0,1
5857,7/22/2015,apartment,-34.6036844,-58.381559100000004,0.0,43.0,1
5858,7/22/2015,house,-34.6036844,-58.381559100000004,0.0,43.0,1
5859,7/22/2015,apartment,-34.6036844,-58.381559100000004,0.0,43.0,1
5860,7/22/2015,apartment,-34.6036844,-58.381559100000004,0.0,43.0,1
5861,9/22/2014,PH,-34.603723200000005,-58.381593099999996,70000.0,43.0,9
5862,10/17/2015,house,-34.60371374,-58.38158089,83000.0,43.0,21
5863,7/28/2015,apartment,-34.60371374,-58.38158089,158000.0,43.0,6
5864,11/19/2015,apartment,-34.60371374,-58.38158089,79000.0,43.0,8
5865,5/21/2015,house,-34.603723200000005,-58.381593099999996,0.0,43.0,40
5866,10/17/2015,PH,-34.6036844,-58.381559100000004,0.0,43.0,40
5867,11/26/2015,apartment,-34.6036844,-58.381559100000004,0.0,43.0,40
5868,9/22/2014,PH,-34.603723200000005,-58.381593099999996,68000.0,43.0,9
