dataset_date,id_left,created_on,operation,property_type,place_name,country_name,state_name,geonames_id,lat_lon,lat_x,lat_x,lat_x,lon_x,lon_x,lon_x,price,currency,price_aprox_local_currency,price_aprox_usd,coordinates,barrio,comuna,AREA,Commune,b_id,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,health_long,health_lat,health_object,health_id,health_name,health_comune,health_distance,property_values_Commune,property_values_Longitude,property_values_Latitude,property_values_Date,property_values_Value in US Dollars,property_values_Value of m2 (US Dollars),property_values_m2,property_values_b_id,property_values_distance,Year,Distance in m,Time Dif,$ Dif,public_wifi_lat,public_wifi_long,public_wifi_id,public_wifi_object,public_wifi_name,public_wifi_comune,public_wifi_distance,sports_long,sports_lat,sports_id,sports_object,sports_name,sports_comune,sports_distance,transportation_long,transportation_lat,transportation_id,transportation_object,transportation_name,transportation_distance
201505,0ca522ebfcf6809a710810744c49c895f91c43e6,42200,sell,house,COLEGIALES,Argentina,Capital Federal,3435356,"-34.5790159658,-58.4499167793",-34.57901597,-34.57901597,-34.57901597,-58.44991678,-58.44991678,-58.44991678,360000,USD,6218820,360000,POINT (-58.44991678 -34.57901597),COLEGIALES,13,21940.31,13,28,67.3,3,89.3,7,41.6,8,6,0,37.7,5,43.8,1,85.4,3,7.3,8,-58.44995222,-34.57927332,pharmacy,0,0,13,0.000259778,13,-58.44991773,-34.57901344,42156,379990,1461.5,260,28,0.00000271,2015,0.29446066,-44,19990,-34.57988242,-58.44554566,640,public WiFi location,Polideportivo Colegiales,13,0.004456169,-58.44467414,-34.5794595,3,sports center,COLEGIALES,13,0.005261371,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.065767106
201505,32d8b288856de5cdf2d03ebbb82a8142e7f0017e,42222,sell,apartment,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.579019693,-58.4838413064",-34.57901969,-34.57901969,-34.57901969,-58.48384131,-58.48384131,-58.48384131,247000,USD,4266801.5,247000,POINT (-58.48384131 -34.57901969),VILLA URQUIZA,12,47956.25,12,14,81.4,9,91.3,8,20.1,1,8.3,2,48.3,7,64.7,7,84.8,3,10.3,9,-58.48235865,-34.57664561,pharmacy,0,0,12,0.002799023,12,-58.48384114,-34.57901733,42156,314995.8,2837.8,111,14,0.00000237,2015,0.262880934,-66,67995.8,-34.57617669,-58.48356811,1305,public WiFi location,Teatro 25 de Mayo,12,0.002856092,-58.47677201,-34.5916365,4,sports center,COSTA RICA,15,0.014462326,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.068486509
201507,896bea31403016359cf6a0b8b7dbed66c09cedc7,42146,sell,apartment,PALERMO HOLLYWOOD,Argentina,Capital Federal,0,"-34.5824541959,-58.4273006504",-34.5824542,-34.5824542,-34.5824542,-58.42730065,-58.42730065,-58.42730065,548000,USD,9466426,548000,POINT (-58.42730065 -34.5824542),PALERMO,14,173678.1,14,0,72.4,5,85.7,3,34.7,7,11.5,5,41.3,6,41.2,1,76,0,4.3,6,-58.42931153,-34.58096794,private health center,0,SANATORIO DE LOS ARCOS,14,0.002500516,14,-58.42730233,-34.58245144,42156,1799990.1,5013.9,359,0,0.00000323,2015,0.343279471,10,1251990.1,-34.58186632,-58.43002836,805,public WiFi location,"Metrobus Juan B. Justo, EstaciÌÄå_n Guatemala",14,0.002790346,-58.41947797,-34.58808536,0,sports federation,FederaciÌÄå_n Argentina de Bochas,14,0.009638686,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.070192352
201503,5c5e61b7ee5be39cc5c3fd1e5d6236142d89a14f,42106,sell,PH,VILLA URQUIZA,Argentina,Capital Federal,3433775,"-34.5832438182,-58.4693129283",-34.58324382,-34.58324382,-34.58324382,-58.46931293,-58.46931293,-58.46931293,165000,USD,2826862.5,165000,POINT (-58.46931293 -34.58324382),VILLA ORTUZAR,15,72374.63,15,3,71.3,5,87.8,5,27.4,4,10.1,4,27.6,3,60.5,5,87.8,4,0.6,0,-58.46933829,-34.58037705,pharmacy,0,0,15,0.002866879,15,-58.46931304,-34.5832413,42156,649991.2,2218.4,293,3,0.00000252,2015,0.28039187,50,484991.2,-34.58409037,-58.46622901,975,public WiFi location,EstaciÌÄå_n Tronador - LÌÄå_nea B,15,0.003197995,-58.47146975,-34.59190531,26,stadium,Microestadio Malvinas Argentinas,15,0.008925992,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.061016213
201511,7bbd379408c478c9dcacd767d2ef0686da789cde,42046,sell,apartment,CHACARITA,Argentina,Capital Federal,3435506,"-34.5837570006,-58.4491116983",-34.583757,-34.583757,-34.583757,-58.4491117,-58.4491117,-58.4491117,75000,USD,1295587.5,75000,POINT (-58.44911170000001 -34.583757),CHACARITA,15,59517.88,15,26,63.6,2,88,5,35.1,7,9.4,4,33.3,4,48.7,2,83.8,2,0.7,0,-58.44718779,-34.58275824,pharmacy,0,0,15,0.002167705,15,-58.44911264,-34.5837543,42156,450008,1730.8,260,26,0.00000285,2015,0.312315404,110,375008,-34.58076305,-58.44552148,728,public WiFi location,"Parques y Plazas, Plaza Mafalda",13,0.004674759,-58.44467414,-34.5794595,3,sports center,COLEGIALES,13,0.006177418,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.061263362
201603,1c004420032bcfb636fad4304d5fed0c5d5f1fab,42368,sell,apartment,CAPITAL FEDERAL,Argentina,Capital Federal,3433955,"-34.5847246839,-58.4683530805",-34.58472468,-34.58472468,-34.58472468,-58.46835308,-58.46835308,-58.46835308,75000,USD,1263675,75000,POINT (-58.46835308 -34.58472468),VILLA ORTUZAR,15,72374.63,15,3,71.3,5,87.8,5,27.4,4,10.1,4,27.6,3,60.5,5,87.8,4,0.6,0,-58.46555048,-34.5837101,pharmacy,0,0,15,0.002980593,15,-58.46835339,-34.58472205,42156,389992.5,1733.3,225,3,0.00000264,2015,0.293816158,-212,314992.5,-34.58409037,-58.46622901,975,public WiFi location,EstaciÌÄå_n Tronador - LÌÄå_nea B,15,0.002216755,-58.47146975,-34.59190531,26,stadium,Microestadio Malvinas Argentinas,15,0.007827843,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.059429411
201502,8630b6b157f5b39f7c0a4b5486ff10f66168a62d,42156,sell,apartment,PALERMO HOLLYWOOD,Argentina,Capital Federal,0,"-34.5861450698,-58.440303581",-34.58614507,-34.58614507,-34.58614507,-58.44030358,-58.44030358,-58.44030358,158000,USD,2706935,158000,POINT (-58.44030358 -34.58614507),PALERMO,14,99287.56,14,0,67.7,3,87.6,5,38.8,8,18.9,8,34.9,4,48,2,86.8,4,8.6,9,-58.44161714,-34.58637267,community health and action center,31,Centro de Salud Nivel 1 Palermo 3 (CeSAC NÌâå¡ 33),14,0.001333133,14,-58.44030337,-34.58614241,42156,949988.8,3830.6,248,0,0.00000267,2015,0.296402338,0,791988.8,-34.5869884,-58.44125379,1330,public WiFi location,Sede de Comuna 15 RC,15,0.001270474,-58.43887224,-34.59112964,0,sports federation,AsociaciÌÄå_n Metropolitana de Ciclismo,15,0.005186003,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.061384007
201505,bf485ae0e7c1006eaa7eff916b00109dc04b047b,42240,sell,apartment,PALERMO HOLLYWOOD,Argentina,Capital Federal,0,"-34.5868778058,-58.4392519177",-34.58687781,-34.58687781,-34.58687781,-58.43925192,-58.43925192,-58.43925192,220000,USD,3800390,220000,POINT (-58.43925192 -34.58687781),PALERMO,14,99287.56,14,0,67.7,3,87.6,5,38.8,8,18.9,8,34.9,4,48,2,86.8,4,8.6,9,-58.43884219,-34.58490533,pharmacy,0,0,14,0.002014582,14,-58.43925316,-34.58687496,42156,749991.2,3768.8,199,0,0.00000311,2015,0.336621785,-84,529991.2,-34.5869884,-58.44125379,1330,public WiFi location,Sede de Comuna 15 RC,15,0.00200492,-58.43887224,-34.59112964,0,sports federation,AsociaciÌÄå_n Metropolitana de Ciclismo,15,0.004268745,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.061071881
201511,06f37ea8f6848cad9d6989931a9bd1dbfe938441,42041,sell,apartment,VILLA PUEYRREDON,Argentina,Capital Federal,3429703,"-34.5872062339,-58.5014288725",-34.58720623,-34.58720623,-34.58720623,-58.50142887,-58.50142887,-58.50142887,89000,USD,1537430.5,89000,POINT (-58.50142887 -34.58720623),VILLA PUEYRREDON,12,95801.13,12,16,69.9,4,82.2,0,21.6,2,6.8,1,38.2,5,64.4,7,86,3,2.2,3,-58.50106667,-34.58538377,pharmacy,0,0,12,0.001858104,12,-58.50142807,-34.58720369,42156,1599990.7,2225.3,719,16,0.00000267,2015,0.291775074,115,1510990.7,-34.59078842,-58.5011261,842,public WiFi location,"Parques y Plazas, Plaza MartÌÄå_n RodrÌÄå_guez",12,0.003594967,-58.50082309,-34.58810061,0,sports federation,AsociaciÌÄå_n Metropolitana de Futbol de SalÌÄå_n,12,0.001080224,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.069231313
201510,2ad6696571eb70f44b57107d1139cad9bd505e16,42089,sell,store,PALERMO,Argentina,Capital Federal,3430234,"-34.5935285757,-58.42532174",-34.59352858,-34.59352858,-34.59352858,-58.42532174,-58.42532174,-58.42532174,370000,USD,6391565,370000,POINT (-58.42532174 -34.59352858),PALERMO,14,41615.75,14,0,71.3,5,86.9,4,29,5,6.3,0,42.9,6,59,5,88,4,4.8,7,-58.42690751,-34.59243997,pharmacy,0,0,14,0.001923472,14,-58.4253234,-34.59352544,42156,380008.8,1759.3,216,0,0.00000355,2015,0.380782782,67,10008.8,-34.59272656,-58.41994678,1240,public WiFi location,CESAC NÌâå¼ 17,14,0.005434467,-58.41947797,-34.58808536,0,sports federation,FederaciÌÄå_n Argentina de Bochas,14,0.007986126,-58.46149103,-34.6437566,1,premetro station,INTENDENTE SAGUIER,0.061895651
