feature,percent_influence
property_values_Value in US Dollars,46.50827607
Distance in m,9.923053323
property_values_distance,9.756547012
price,8.311726384
AREA,6.898578348
Time Dif,5.599725494
Commune,3.728058303
property_values_m2,2.719990419
Cellular Percent,2.335213615
transportation_distance,1.624612627
property_values_Value of m2 (US Dollars),1.508063505
sports_distance,1.086154904
