feature,percent_influence
property_values_Value in US Dollars,51.19120446
property_values_m2,14.31365988
public_wifi_distance,8.596862119
property_values_Value of m2 (US Dollars),7.255380145
Education Percent,4.9129764
Rent Percent,3.980082124
sports_distance,2.729205638
Cellular Percent,2.391576015
Immigration Percent,2.264653145
price,1.199566153
Distance in m,1.024965685
Commune,0.139868237
